Date,Open,High,Low,Close,Volume
11/05/2020 15:30:00,359.45,363.8,350.05,351.6,8182348
12/05/2020 15:30:00,354,356.8,337.65,343.45,7690803
13/05/2020 15:30:00,352.85,352.85,334.1,337.25,8732455
14/05/2020 15:30:00,337.25,343.5,333,335.15,8706259
15/05/2020 15:30:00,325,338.65,320.7,328.5,26971956
18/05/2020 15:30:00,329,336.8,325,331.75,11946594
19/05/2020 15:30:00,334,338.5,329.3,336.6,8104299
20/05/2020 15:30:00,335.95,349.75,334,346.85,7499821
21/05/2020 15:30:00,346.5,357.7,344.75,354.85,9872658
22/05/2020 15:30:00,355,356.85,347.6,350.3,4965522
26/05/2020 15:30:00,352.5,361,351.2,358.3,8874192
27/05/2020 15:30:00,358,363.3,347.3,350.85,7297080
28/05/2020 15:30:00,354.8,354.8,342.55,345.45,6473586
29/05/2020 15:30:00,346.15,359.15,345,354.7,46798867
01/06/2020 15:30:00,360,389.9,357.45,385.5,20555189
02/06/2020 15:30:00,389,396,381.2,382.7,11915870
03/06/2020 15:30:00,387,390,381.35,382.5,4094227
04/06/2020 15:30:00,382.5,395.75,382,393.65,7533702
05/06/2020 15:30:00,397,400.5,388.6,389.6,5323724
08/06/2020 15:30:00,393,393.9,378.35,381.25,5661410
09/06/2020 15:30:00,383,390,378,381.65,5427669
10/06/2020 15:30:00,384,393.5,382.5,389.95,5871242
11/06/2020 15:30:00,389.95,393.9,384.5,386.95,3729429
12/06/2020 15:30:00,386,396.25,381.2,384.8,7259146
15/06/2020 15:30:00,390,394.3,381.3,387.55,5516082
16/06/2020 15:30:00,389.9,393,378.05,385.1,4888349
17/06/2020 15:30:00,384.9,399.8,383,396.1,5810761
18/06/2020 15:30:00,395.95,404.6,391.2,393.85,7878288
19/06/2020 15:30:00,393.85,397.25,380.1,381.25,6460477
22/06/2020 15:30:00,385.85,391.55,383,387.55,3952489
23/06/2020 15:30:00,391,398.7,388,396.5,5777685
24/06/2020 15:30:00,399,403.7,387.6,389.9,4999774
25/06/2020 15:30:00,389,406.4,388.45,404.3,6439906
26/06/2020 15:30:00,406,410.45,399.3,401.8,6825060
29/06/2020 15:30:00,401.6,408.35,394.6,397.75,4004002
30/06/2020 15:30:00,400,401.2,388.35,390.1,3211018
01/07/2020 15:30:00,390.4,393.75,384.5,388.45,2727818
02/07/2020 15:30:00,388.45,397.45,388.4,391.95,2877135
03/07/2020 15:30:00,392,397.9,390.3,395.6,3047932
06/07/2020 15:30:00,399.05,406.35,392.65,401.85,4992143
07/07/2020 15:30:00,403.8,406.35,397.5,400.2,3194010
08/07/2020 15:30:00,401,410.35,400.4,401.75,4745612
09/07/2020 15:30:00,395.95,407.8,395.3,405.95,4085452
10/07/2020 15:30:00,400.5,420.5,400.5,414.3,9984659
13/07/2020 15:30:00,446.95,446.95,412.75,414.85,20181221
14/07/2020 15:30:00,419.8,441.25,417,437.6,26086415
15/07/2020 15:30:00,441,441,422.45,424.8,6557756
16/07/2020 15:30:00,425,432.5,416.2,426.45,5033817
17/07/2020 15:30:00,427.2,433.3,423,431.6,3695915
20/07/2020 15:30:00,433,434.9,424.35,428,3442969
21/07/2020 15:30:00,431.2,433.5,424.55,426.3,2774113
22/07/2020 15:30:00,428,441,425.7,430.7,9092887
23/07/2020 15:30:00,433.25,438.5,423.05,430.3,7095324
24/07/2020 15:30:00,428,435.6,413.55,415.15,10177556
27/07/2020 15:30:00,413.5,416.5,397.45,399.6,5594057
28/07/2020 15:30:00,401,407.5,396.5,399,4421520
29/07/2020 15:30:00,400,403.45,393,395.8,4788604
30/07/2020 15:30:00,396,404.9,395.1,403.45,6207478
31/07/2020 15:30:00,408,412.8,400.8,409.6,7274624
03/08/2020 15:30:00,411.8,416.75,407.7,411.9,5226709
04/08/2020 15:30:00,414.45,416.65,404,413.8,4147575
05/08/2020 15:30:00,415,418.8,407.2,408.2,4342571
06/08/2020 15:30:00,410.95,413.95,405.95,407.45,3597943
07/08/2020 15:30:00,409,411.85,396.05,399.45,5634992
10/08/2020 15:30:00,402.2,414.5,400.7,412.45,7028465
11/08/2020 15:30:00,415,417,406.3,407.55,5384759
12/08/2020 15:30:00,407.55,407.8,392.1,396.6,5536772
13/08/2020 15:30:00,399,401.1,391.7,393.25,4016926
14/08/2020 15:30:00,394.5,402.3,391.5,395.1,5377067
17/08/2020 15:30:00,398.8,399.65,389.35,391.25,3371658
18/08/2020 15:30:00,392.5,397,388,394.85,3100512
